target_id,target_label,source_anchor,research_state,classification_outcome,interpretation,qa_state,effective_frame_class,identity_limitation,bounded_proposition,required_abstention,evidence_locus,inference_extent,temporal_state,temporal_display_rule,law_practice_note,network_territorial_note,language_access_limitations,coverage_confidence
R1:P:1800:C:r2,Spanish Empire,1800 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:D:r1,Duchy of Bavaria,1800 CE,held,unassessed,Registered target; historical slavery/coercion research not yet performed.,invalid_or_mismatched_hold,invalid_label_at_anchor,Bavaria was an Electorate from 1623 to 1806. The source-native label 'Duchy of Bavaria' is not valid for 1800. Do not silently replace it with Electorate of Bavaria.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:D:r2,Qajar Dynasty,1800 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:E:r1,Khanate of Kokand,1800 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:E:r2,Kazakh Khanate,1800 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:F:r1,Tokugawa Shogunate,1800 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:F:r2,Kingdom of Champasak,1800 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:500:A:r1,Teotihuacan,500 CE,reviewed_inconclusive,inconclusive,,validated_with_frame_limitation,urban_polity_site,Major urban/political centre; exact territorial jurisdiction is uncertain and must not be inferred from city/site geometry.,Moon Pyramid archaeology securely demonstrates sacrificial killing and foreign-born sacrificial victims in earlier Teotihuacan construction phases. The reviewed packet does not establish slave status for those victims and does not establish a slavery/coercion practice specifically at the 500 CE anchor.,"Do not convert foreign origin, captivity, sacrifice, hierarchy or execution into slave status; do not project earlier Moon Pyramid sacrificial episodes forward to selected-year 500 CE or generalize them to citywide slavery prevalence.",Moon Pyramid sacrificial burials at Teotihuacan,Earlier site-level coercive/sacrificial practice only; 500 CE slavery status/practice remains unknown in this packet,unknown,Do not render positive selected-year practice at 500 CE.,,,English-language archaeological scholarship reviewed; no direct legal/status text identifies the victims as slaves.,moderate
R1:P:500:A:r2,Zapotec Civilization,500 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:500:C:r1,Nobatia,500 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:500:C:r2,Himyarite Kingdom,500 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:500:D:r1,Lazica,500 CE,reviewed_inconclusive,inconclusive,,validated,polity,Byzantine/Iranian suzerainty and changing dependency must be kept separate from target identity.,"Procopius explicitly describes the Lazi of Lazica as furnishing slaves, along with skins and hides, in Black Sea commerce with Romans, and specialist scholarship treats slave export from Colchis/Lazica as a recurrent historical phenomenon. This securely supports sixth-century Lazican participation in slave-export networks, but the reviewed packet does not securely move that evidence backward to the exact 500 CE anchor.","Do not convert slave export into territorial slavery prevalence, assume that exported people were enslaved within Lazica, or back-project Procopius's sixth-century description to an exact 500 CE selected-year state without independent temporal support.",Lazican/Colchian Black Sea commerce described by Procopius and specialist analysis,external/network participation in sixth-century slave export; no 500 CE territorial-practice claim,unknown,Sixth-century Lazican slave-export evidence does not establish exact 500 CE selected-year truth.,,The decisive direct evidence is trade/export participation. It is intentionally not converted into territorial practice or prevalence.,English translation of Procopius plus English-language specialist scholarship reviewed; no independent Greek retranslation was performed.,moderate_high
R1:P:500:D:r2,Caucasian Iberia,500 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:500:E:r1,Kalabhra Dynasty,500 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:500:E:r2,Maitraka Dynasty,500 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:500:F:r1,Tamna,500 CE,reviewed_inconclusive,inconclusive,,validated,island_polity,Island kingdom frame; later tributary/title relations do not erase local polity identity.,"Specialist scholarship establishes slavery/nobi as a real and changing institution in medieval Korean history, while Tamna scholarship securely treats the Jeju island polity as a distinct historical target around the fifth–sixth centuries. The bounded review did not recover target-specific evidence sufficient to establish slavery, servile dependency, or another project coercion category in Tamna at the 500 CE anchor.","Do not project peninsula-wide Korean slavery/nobi institutions onto Tamna; do not use later Goryeo/Joseon Jeju servitude, tribute, exile or Mongol-period institutions as evidence for 500 CE; do not infer absence from the target-specific evidentiary gap.",broader medieval Korean slavery scholarship plus target-specific Tamna historical studies; no decisive Tamna slavery/coercion locus recovered,research coverage statement only; no Tamna territorial-practice inference,unknown,Broader Korean slavery/nobi context does not create a Tamna 500 CE positive.,No Korean peninsula legal/status regime is silently assigned to autonomous island-polity Tamna.,Tributary/diplomatic relations are not treated as territorial coercion evidence.,"English-accessible specialist slavery synthesis and Korean/English abstracts on ancient Tamna were reviewed. Korean-language Tamna-specific social-status and archaeological literature was not exhaustively reviewed, making the target-specific negative search materially access-limited.",limited_moderate
R1:P:500:F:r2,Southern Qi,500 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
